;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;MP_entropy;MP_complexity;MP_fisher_shanon;MP_edge_entropy;MP_edge_complexity;MP_edge_fisher_shannon;MP_number_nodes;MP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
21;[0, 22];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;[0, 23];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;[0, 24];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;[0, 25];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;[0, 26];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;[0, 27];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;[0, 28];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;[0, 29];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;[0, 30];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;[0, 31];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;[0, 32];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;[0, 33];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;[0, 34];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;[0, 35];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;[0, 36];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;[0, 37];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;[0, 38];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;[0, 39];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;[0, 40];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;[0, 41];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;[0, 42];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;[0, 43];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;[0, 44];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;[0, 45];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;[0, 46];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;[0, 47];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;[0, 48];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;[0, 49];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;[0, 50];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;[0, 51];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;[0, 52];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;[0, 53];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;[0, 54];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;[0, 55];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;[0, 56];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;[0, 57];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;[0, 58];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;[0, 59];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;[0, 60];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;[0, 61];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;[0, 62];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;[0, 63];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;[0, 64];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;[0, 65];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;[0, 66];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;[0, 67];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;[0, 68];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;[0, 69];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;[0, 70];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;[0, 71];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;[0, 72];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;[0, 73];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;[0, 74];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;[0, 75];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;[0, 76];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;[0, 77];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;[0, 78];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;[0, 79];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;[0, 80];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;[0, 81];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;[0, 82];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;[0, 83];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;[0, 84];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;[0, 85];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;[0, 86];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;[0, 87];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;[0, 88];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;[0, 89];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;[0, 90];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;[0, 91];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;[0, 92];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;[0, 93];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;[0, 94];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;[0, 95];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;[0, 96];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;[0, 97];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;[0, 98];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;[0, 99];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;[0, 100];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;[0, 101];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;[0, 102];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;[0, 103];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;[0, 104];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;[0, 105];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;[0, 106];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;[0, 107];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;[0, 108];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;[0, 109];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;[0, 110];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;[0, 111];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;[0, 112];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;[0, 113];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;[0, 114];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;[0, 115];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;[0, 116];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;[0, 117];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;[0, 118];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;[0, 119];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;[0, 120];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;[0, 121];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;[0, 122];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;[0, 123];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;[0, 124];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;[0, 125];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;[0, 126];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;[0, 127];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;[0, 128];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;[0, 129];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;[0, 130];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;[0, 131];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;[0, 132];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;[0, 133];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;[0, 134];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;[0, 135];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;[0, 136];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;[0, 137];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;[0, 138];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;[0, 139];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;[0, 140];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;[0, 141];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;[0, 142];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;[0, 143];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;[0, 144];0.9944833445947784;0.005384779222794804;0.002281954381423925;0.9488801212514659;0.05009849909615667;0.05809714953666793;18.0;0.05673758865248227;0.995094099133656;0.004811805336595049;0.004378062616808338;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414;0.7681814500056644;0.17868589569461318;0.10668450586452785;0.7177622660637883;0.24528008890503622;0.40032063144111396;14.0;0.3262411347517731;0.995429739711655;0.004485147662348701;0.0010218748513336619;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.05673758865248227;0.9591365122223042;0.03956297156040242;0.03855357343353243;0.9789848253208955;0.020031194717033057;0.00855743120599307;18.0;0.028368794326241134
144;[1, 145];0.9949556179310791;0.004935864221571242;0.001813229134929688;0.9099617502405772;0.08386502482452259;0.12134118334435097;18.0;0.05673758865248227;0.9939393400207711;0.005937176970365803;0.0053843783697512335;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414;0.7688821459971321;0.1783026747864424;0.10253722191504532;0.7177622660637883;0.24528008890503622;0.40032063144111396;14.0;0.3262411347517731;0.995429739711655;0.004485147662348701;0.0010218748513336619;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.05673758865248227;0.9591365122223042;0.03956297156040242;0.03855357343353243;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.028368794326241134
145;[2, 146];0.996250776775627;0.0036822254341349453;0.0011997257103831078;0.9099617502405772;0.08386502482452259;0.12134118334435097;18.0;0.05673758865248227;0.993798940289108;0.006062505388871289;0.005563335205676519;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414;0.7730918942969993;0.17693938674481352;0.10305508084302376;0.7177622660637883;0.24528008890503622;0.40032063144111396;14.0;0.3262411347517731;0.9957644909315467;0.004156360223084419;0.0015419920714494944;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.05673758865248227;0.9619286059696764;0.036850742059333925;0.03631333938561909;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
146;[3, 147];0.9950450199309981;0.004885709717999728;0.0014751134972197533;0.8226867783253708;0.17108057144099145;0.276006040128054;18.0;0.05673758865248227;0.9943124056486969;0.00555401946930018;0.005227789129220542;0.9400664543100067;0.05624129096313677;0.05431155505619084;18.0;0.035460992907801414;0.7681814500056644;0.17868589569461318;0.10668450586452785;0.7177622660637883;0.24528008890503622;0.40032063144111396;14.0;0.3262411347517731;0.9954297397116552;0.004485147662348457;0.0019170643502420814;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.05673758865248227;0.964020721339607;0.03495995636206953;0.03498589358458705;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
147;[4, 148];0.9947590181404088;0.00514414896194542;0.0017805901085432589;0.8616051493362593;0.1452560567564639;0.20196114672225388;18.0;0.05673758865248227;0.9943124056486969;0.00555401946930018;0.005227789129220542;0.9400664543100067;0.05624129096313677;0.05431155505619084;18.0;0.035460992907801414;0.7639171116655674;0.18002609293162805;0.1062255244771583;0.7177622660637883;0.24528008890503622;0.40032063144111396;14.0;0.3333333333333333;0.9950949884917635;0.004813713027209245;0.0012468229926018265;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.05673758865248227;0.964020721339607;0.03495995636206953;0.03498589358458705;0.990837632555437;0.009195596539434117;0.009470673228154095;18.0;0.035460992907801414
148;[5, 149];0.9949556179310791;0.004935864221571242;0.001813229134929688;0.8616051493362593;0.1452560567564639;0.20196114672225388;18.0;0.05673758865248227;0.9943124056486969;0.00555401946930018;0.005227789129220542;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7639171116655674;0.18002609293162805;0.1062255244771583;0.7177622660637883;0.24528008890503622;0.40032063144111396;14.0;0.3333333333333333;0.995478818914313;0.004411194772461871;0.0013446145488772666;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.05673758865248227;0.964020721339607;0.03495995636206953;0.03498589358458705;0.990837632555437;0.009195596539434117;0.009470673228154095;18.0;0.035460992907801414
149;[6, 150];0.9958135701342042;0.004082366110978082;0.0019133402096593683;0.8616051493362593;0.1452560567564639;0.20196114672225388;18.0;0.06382978723404256;0.9948492893663546;0.0050100181237911;0.0043197773688328145;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7702435244930225;0.17742122536628468;0.10614049128310662;0.7177622660637883;0.24528008890503622;0.40032063144111396;14.0;0.3262411347517731;0.9959160255557356;0.00401133417126689;0.0014815789203282887;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.04964539007092199;0.964020721339607;0.03495995636206953;0.03498589358458705;0.990837632555437;0.009195596539434117;0.009470673228154095;18.0;0.035460992907801414
150;[7, 151];0.996163223219983;0.0037311743981009032;0.00242878629960365;0.8616051493362593;0.1452560567564639;0.20196114672225388;18.0;0.07092198581560284;0.9961444482109023;0.003756611046393781;0.0032073500430331043;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7855066511271804;0.1653791990313564;0.09670529642636552;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.3262411347517731;0.996704839897044;0.0032578543584191777;0.0016382102960841162;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.04964539007092199;0.964020721339607;0.03495995636206953;0.03498589358458705;0.990837632555437;0.009195596539434117;0.009470673228154095;18.0;0.035460992907801414
151;[8, 152];0.9956006786577365;0.004315531573739338;0.0032365161038043766;0.8616051493362593;0.1452560567564639;0.20196114672225388;18.0;0.07801418439716312;0.9957785034393262;0.004132325462246098;0.0038075596564807494;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7867759728592557;0.1643511234447753;0.09235798205458218;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.3262411347517731;0.99707078466862;0.002881466667850844;0.0011910345563219535;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.04964539007092199;0.9655124799748254;0.033589760975378725;0.03412748649864537;0.9583183511448947;0.037059302854355984;0.027421428391579024;18.0;0.035460992907801414
152;[9, 153];0.9951086712261875;0.004793705274061048;0.0031583216717435292;0.9488801212514659;0.05009849909615667;0.05809714953666793;18.0;0.07801418439716312;0.9948492893663546;0.0050100181237911;0.0043197773688328145;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7873128565769134;0.16403038406933992;0.088352196522333;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.3262411347517731;0.9960616276146617;0.003878191180421704;0.0023254469864892402;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.04964539007092199;0.9687165888432071;0.030405689322822674;0.030542994390083095;0.9789848253208955;0.020031194717033057;0.00855743120599307;18.0;0.035460992907801414
153;[10, 154];0.9951086712261875;0.004793705274061048;0.0031583216717435292;0.9607329284860076;0.03998276446058072;0.036650540129941706;18.0;0.07801418439716312;0.9949896890980178;0.0048844069206701495;0.0042136657959760005;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7916310581860606;0.16242894049536943;0.0886679902101637;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.3191489361702128;0.9960616276146617;0.003878191180421704;0.0023254469864892402;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.0425531914893617;0.971861887214313;0.02745295208725796;0.02770401466630654;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
154;[11, 155];0.9954297397116552;0.004485147662348457;0.003496825497161414;0.9607329284860076;0.03998276446058072;0.036650540129941706;18.0;0.07801418439716312;0.9942562055896897;0.005636634693559551;0.005026251115051655;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7916310581860606;0.16242894049536943;0.0886679902101637;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.3120567375886525;0.9967048398970438;0.0032578543584191777;0.0025448498302485098;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.0425531914893617;0.9730166463271975;0.02637842289956198;0.027135368093741518;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
155;[12, 156];0.9941682312385105;0.0057702534301056155;0.004321947218707036;0.9607329284860076;0.03998276446058072;0.036650540129941706;18.0;0.07801418439716312;0.9942562055896897;0.005636634693559794;0.004728154491749085;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414;0.7962427630206791;0.1605999454223925;0.0852975290501069;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.3049645390070922;0.9968835540367411;0.0030761642425136816;0.0021835442102491856;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.0425531914893617;0.97580874007457;0.02358591921426148;0.023996698626829772;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
156;[13, 157];0.993595468190154;0.006287267121047544;0.004997069151677643;0.9607329284860076;0.03998276446058072;0.036650540129941706;18.0;0.07801418439716312;0.994640036012239;0.005234776415643473;0.004486093246433844;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414;0.800284038812735;0.1590604992758669;0.0857928034823425;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.2978723404255319;0.9968835540367411;0.0030761642425136816;0.0021835442102491856;0.9908376325554372;0.00919559653943412;0.009470673228154095;18.0;0.0425531914893617;0.978592615592261;0.02095563538891109;0.02148824952169635;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
157;[14, 158];0.9935954681901538;0.006287267121048273;0.0057228852862359625;0.9488801212514659;0.050098499096156206;0.04135032500972276;18.0;0.07801418439716312;0.9956075644932447;0.004302003565787956;0.003841539441544966;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414;0.800284038812735;0.1590604992758669;0.0857928034823425;0.7173356949936159;0.24639636822918798;0.38461538461538464;15.0;0.2907801418439716;0.9968835540367411;0.0030761642425136816;0.0021835442102491856;0.9908376325554372;0.00919559653943412;0.009470673228154095;18.0;0.0425531914893617;0.978592615592261;0.02095563538891109;0.02148824952169635;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
158;[15, 159];0.9946602386700595;0.005293019178769385;0.004486447656842491;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.07801418439716312;0.9956075644932447;0.004302003565787956;0.003841539441544966;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.8046022643805301;0.15730831596064743;0.08278549238631128;0.8509553984313722;0.1540793684887149;0.2168045730498419;15.0;0.2907801418439716;0.9965750929742504;0.0033674078871962676;0.002635455731838352;0.9908376325554372;0.00919559653943412;0.009470673228154095;18.0;0.04964539007092199;0.978592615592261;0.02095563538891109;0.02148824952169635;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
159;[16, 160];0.9957644909315467;0.004156360223084907;0.003791994576009082;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.07801418439716312;0.9956075644932447;0.004302003565787956;0.003841539441544966;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.8021019547169211;0.1590366524784034;0.08410650054155848;0.8509553984313722;0.1540793684887149;0.2168045730498419;15.0;0.2907801418439716;0.9972183052566328;0.0027464192390162993;0.0022436692519488405;0.9908376325554372;0.00919559653943412;0.009470673228154095;18.0;0.04964539007092199;0.978592615592261;0.02095563538891109;0.02148824952169635;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
160;[17, 161];0.9948240509438697;0.005134160481981061;0.00508891240500838;0.9488801212514659;0.050098499096156206;0.022398739207147408;18.0;0.07801418439716312;0.994640036012239;0.005234776415643473;0.004486093246433844;0.9400664543100068;0.05624129096313678;0.07886583260889428;18.0;0.035460992907801414;0.7947870841495842;0.1630096895558681;0.08928519664990425;0.8509553984313722;0.1540793684887149;0.2168045730498419;15.0;0.2907801418439716;0.9977551889742903;0.0021992998376520793;0.00202635397630329;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.04964539007092199;0.978592615592261;0.02095563538891109;0.02148824952169635;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
