;total_pacotes;total_pacotes_icmp;total_pacotes_udp;total_pacotes_tcp;maior_pacote;menor_pacote;soma_pacotes;total_ips_origem;total_ips_destino;porta_origem_mais_frequente;porta_destino_mais_frequente;has_bot
154;2875;4;169;2557;1514;60;2077433;164;159;80.0;80.0;0
155;2750;6;187;2464;1514;60;2056806;178;180;80.0;80.0;0
156;1996;4;150;1794;1514;60;1338663;161;166;80.0;80.0;0
157;2092;9;183;1794;1514;60;1463596;159;160;80.0;80.0;0
158;2080;5;167;1820;1514;60;1537607;150;151;80.0;80.0;0
159;2367;4;186;2083;1514;60;1844822;144;150;80.0;80.0;0
160;3047;5;153;2494;1514;60;2203208;149;151;80.0;80.0;0
161;2115;3;202;1807;1514;60;1442514;171;183;80.0;80.0;0
162;1855;3;103;1715;1514;60;1345830;167;170;80.0;80.0;0
163;1932;4;156;1731;1514;60;1467916;169;176;80.0;80.0;0
164;3118;6;153;2919;1514;60;2465095;179;182;80.0;80.0;0
165;6089;9;125;5913;1514;60;5306791;163;171;80.0;53892.0;0
166;1948;1;91;1766;1514;60;1417666;180;183;80.0;80.0;0
167;1893;2;112;1742;1514;60;1491056;146;150;80.0;80.0;0
168;2511;8;114;2274;1514;60;1971179;172;170;80.0;80.0;0
169;3695;4;153;3457;1514;60;2978070;183;190;80.0;80.0;0
170;2178;3;95;1936;1514;60;1631160;146;157;80.0;80.0;0
171;2245;4;329;1836;1514;60;1845861;164;164;80.0;80.0;0
172;2416;6;269;2045;1514;60;1912459;172;172;80.0;80.0;0
173;1511;5;155;1251;1514;60;969332;180;196;80.0;80.0;0
174;2162;3;181;1887;1514;60;1597313;176;190;80.0;80.0;0
175;2067;3;160;1837;1514;60;1545956;186;195;80.0;80.0;0
176;2377;6;115;2159;1514;60;2097938;148;154;80.0;49989.0;0
177;1402;6;129;1243;1514;60;1076138;157;156;80.0;80.0;0
178;1654;7;306;1293;1514;60;1203444;137;138;80.0;80.0;0
179;1443;4;195;1197;1514;60;1032507;147;152;80.0;80.0;0
180;1399;5;123;1212;1514;60;976818;145;150;80.0;80.0;0
181;1609;4;117;1432;1514;60;1127925;157;166;80.0;80.0;0
182;2112;8;87;1655;1514;60;1328507;160;167;80.0;80.0;0
183;2003;7;131;1812;1514;60;1645108;177;188;80.0;80.0;0
184;2634;5;100;2398;1514;60;1855452;185;190;80.0;80.0;0
185;2509;5;99;2351;1514;60;2099759;162;173;80.0;53534.0;0
186;3815;2;100;3608;1514;60;3240167;166;176;80.0;53534.0;0
187;3896;2;123;3729;1514;60;3632479;178;189;80.0;53534.0;0
188;1962;2;93;1780;1514;60;1451727;161;171;80.0;80.0;0
189;1245;3;101;1105;1514;60;956604;139;144;80.0;80.0;0
190;1246;8;134;1082;1514;60;848593;143;161;80.0;80.0;0
191;1426;5;131;1245;1514;60;869141;156;168;80.0;80.0;0
192;1564;4;201;1278;1514;60;1113057;158;168;80.0;80.0;0
193;1726;4;211;1448;1514;60;1218759;153;163;80.0;80.0;0
194;1390;2;118;1067;1514;60;848149;153;158;80.0;80.0;0
195;1465;4;135;1296;1514;60;994559;165;170;80.0;80.0;0
196;1246;4;113;1061;1514;60;856023;142;154;80.0;80.0;0
197;1310;3;135;1066;1514;60;791309;145;151;80.0;80.0;0
198;1266;3;88;1132;1514;60;862427;125;136;80.0;80.0;0
199;1395;4;126;1222;1514;60;994766;144;152;80.0;80.0;0
200;1311;3;96;1194;1514;60;930064;130;137;80.0;80.0;0
201;1278;6;98;1143;1514;60;918710;146;147;80.0;80.0;0
202;2358;4;107;2182;1514;60;1794221;138;144;80.0;80.0;0
203;4490;9;119;4318;1514;60;3427349;147;155;80.0;80.0;0
204;4624;7;114;4441;1514;60;3552179;154;165;80.0;80.0;0
205;4207;7;124;4023;1514;60;3158690;128;135;80.0;80.0;0
206;3949;5;139;3748;1514;60;2976069;148;158;80.0;80.0;0
207;3515;5;92;3347;1514;60;2638598;128;133;80.0;80.0;0
208;1640;7;109;1498;1514;60;1220251;143;151;80.0;80.0;0
209;1501;13;149;1275;1514;60;941957;170;172;80.0;80.0;0
210;1415;9;161;1182;1514;60;902781;167;173;80.0;80.0;0
211;1197;7;150;1028;1514;60;860532;156;158;80.0;80.0;0
212;1474;8;115;1284;1514;60;1027777;152;158;80.0;80.0;0
213;2513;3;138;2250;1514;60;1978080;176;183;80.0;80.0;0
214;1774;6;108;1624;1514;60;1258688;160;155;80.0;80.0;0
215;1879;6;209;1577;1514;60;1453784;182;210;80.0;44128.0;0
216;2179;7;151;1814;1514;60;1584704;164;165;80.0;80.0;0
217;1608;2;118;1415;1514;60;1208531;149;159;80.0;80.0;0
218;2904;4;114;2727;1514;60;2634210;126;135;80.0;80.0;0
219;1821;3;106;1656;1514;60;1544417;131;139;80.0;80.0;0
220;1947;7;141;1723;1514;60;1296394;162;162;80.0;80.0;0
221;2304;4;126;2061;1514;60;2021505;137;154;80.0;59778.0;0
222;1255;6;107;1111;1514;60;967363;125;130;80.0;80.0;0
223;1982;6;114;1827;1514;60;1692475;133;151;80.0;80.0;0
224;1136;4;119;971;1514;60;817174;120;122;80.0;80.0;0
225;2263;3;100;2100;1514;60;1867252;150;153;80.0;80.0;0
226;2152;3;137;1940;1514;60;1569794;165;171;80.0;80.0;0
227;1899;8;81;1674;1514;60;1135288;140;147;80.0;80.0;0
228;1581;4;174;1226;1514;60;931477;142;151;80.0;80.0;0
229;1825;4;257;1503;1514;60;1173996;165;168;80.0;80.0;0
230;1293;4;115;1131;1514;60;948639;138;135;80.0;80.0;0
231;1288;3;90;1155;1514;60;940486;140;146;80.0;80.0;0
232;1509;6;97;1364;1514;60;1235189;139;149;80.0;80.0;0
233;1313;4;115;1055;1514;60;999023;154;157;80.0;80.0;0
234;1132;4;93;995;1514;60;838121;133;137;80.0;80.0;0
235;1155;4;104;1000;1514;60;880581;126;140;80.0;80.0;0
236;1366;3;124;1198;1514;60;981040;151;156;80.0;80.0;0
237;1401;3;102;1249;1514;60;960368;141;147;80.0;80.0;0
238;1219;4;130;993;1514;60;755450;129;147;80.0;80.0;0
239;1465;3;134;1290;1514;60;1036280;158;154;80.0;80.0;0
240;1352;4;127;1182;1514;60;902832;142;147;80.0;80.0;0
241;1635;7;146;1439;1514;60;1207526;173;182;80.0;80.0;0
242;1424;9;130;1223;1514;60;1129304;130;134;80.0;80.0;0
243;3098;8;116;2863;1514;60;2349205;151;153;8432.0;8432.0;0
244;1944;10;124;1728;1514;60;1391138;155;164;80.0;80.0;0
245;1598;8;129;1423;1514;60;1029031;179;192;80.0;80.0;0
246;1442;8;107;1265;1514;60;1019917;159;162;80.0;80.0;0
247;2373;9;126;2179;1514;60;2120328;159;166;80.0;51565.0;0
248;1887;6;138;1635;1514;60;1690502;150;153;80.0;1838.0;0
249;3224;6;110;3060;1514;60;3483389;133;138;80.0;1838.0;0
250;2657;5;131;2426;1514;60;2531102;149;149;80.0;1838.0;0
251;1383;8;152;1115;1514;60;999956;142;149;80.0;80.0;0
252;1469;9;125;1275;1514;60;1175826;147;148;80.0;80.0;0
253;1780;12;117;1583;1514;60;1465629;147;149;80.0;80.0;0
254;1285;8;109;1123;1514;60;1056705;140;141;80.0;80.0;0
255;1369;12;123;1201;1514;60;933770;144;150;80.0;80.0;0
256;3040;5;153;2816;1514;60;2515389;173;176;8432.0;8432.0;0
257;1537;4;138;1342;1514;60;1145940;143;144;80.0;80.0;0
258;2030;4;111;1867;1514;60;1662154;130;134;80.0;80.0;0
259;1806;4;100;1623;1514;60;1291185;154;157;80.0;80.0;0
260;1578;6;125;1379;1514;60;1092489;158;169;80.0;80.0;0
261;1685;3;141;1503;1514;60;1255117;154;156;80.0;80.0;0
262;2099;10;122;1903;1514;60;1533986;174;174;80.0;80.0;0
263;2576;4;134;2287;1514;60;1803201;174;173;80.0;80.0;0
264;1852;5;164;1592;1514;60;1384085;144;163;80.0;80.0;0
265;1918;5;171;1696;1514;60;1487702;197;180;80.0;80.0;0
266;1785;3;135;1596;1514;60;1495555;165;163;80.0;80.0;0
267;1194;2;110;1043;1514;60;876166;147;156;80.0;80.0;0
268;8612;3;90;8478;1514;60;10657980;142;141;80.0;49523.0;0
269;1536;6;132;1311;1514;60;1220197;163;160;80.0;1816.0;0
270;1838;5;135;1665;1514;60;1384603;133;132;80.0;80.0;0
271;1214;1;169;1039;1514;60;820526;141;147;80.0;80.0;0
272;1763;6;149;1549;1514;60;1337990;147;151;80.0;80.0;0
273;1681;3;145;1450;1514;60;1095097;154;163;80.0;80.0;0
274;2403;3;191;2139;1514;60;1865953;164;164;80.0;36741.0;0
275;1413;8;338;1019;1514;60;991170;143;147;80.0;80.0;0
276;2606;4;164;2400;1514;60;2149014;155;159;80.0;36741.0;0
277;3171;0;164;2962;1514;60;2563851;163;168;80.0;36741.0;0
278;2016;2;235;1756;1514;60;1520022;170;171;80.0;80.0;0
279;1551;0;195;1288;1514;60;1005570;151;157;80.0;80.0;0
280;1588;2;231;1318;1514;60;1085000;158;167;80.0;80.0;0
281;1426;6;176;1198;1514;60;1019513;143;149;80.0;80.0;0
282;1394;6;163;1207;1514;60;994567;140;146;80.0;80.0;0
283;1855;4;177;1645;1514;60;1247851;168;179;80.0;80.0;0
284;1165;7;166;948;1514;60;709515;132;137;80.0;80.0;0
285;1193;4;186;959;1514;60;808132;154;163;80.0;80.0;0
286;1210;7;209;932;1514;60;753525;145;156;80.0;80.0;0
287;1188;1;203;933;1514;60;814641;133;131;80.0;80.0;0
288;1673;6;213;1380;1514;60;1200808;136;141;80.0;80.0;0
289;1247;3;252;905;1514;60;779561;160;156;80.0;80.0;0
290;1440;3;237;1164;1514;60;969824;148;152;80.0;80.0;0
291;1277;5;233;970;1514;60;750458;164;172;80.0;80.0;0
292;1461;3;239;1203;1514;60;978798;144;148;80.0;80.0;0
293;1632;1;234;1357;1514;60;1175086;152;157;80.0;80.0;0
294;1387;1;209;1118;1514;60;887836;135;139;80.0;80.0;0
295;1224;4;240;910;1514;60;701975;144;155;80.0;80.0;0
296;1923;7;233;1652;1514;60;1307447;137;142;80.0;40139.0;0
297;1646;4;239;1334;1514;60;1059659;164;168;80.0;80.0;0
298;1530;3;210;1252;1514;60;1239691;123;125;80.0;80.0;0
299;1299;3;239;1020;1514;60;884388;132;137;80.0;80.0;0
300;2597;3;225;2260;1514;60;1499542;147;155;80.0;1847.0;0
301;1714;4;252;1373;1514;60;1256142;145;146;80.0;80.0;0
302;2641;2;261;2014;1514;60;1868581;153;170;80.0;80.0;0
303;3542;5;248;3215;1514;60;2987010;156;164;80.0;8432.0;0
304;2683;3;219;2377;1514;60;2164451;126;136;80.0;52029.0;0
305;1828;4;225;1528;1514;60;1273103;145;149;80.0;80.0;0
306;2964;5;229;2674;1514;60;2383014;157;163;8432.0;8432.0;0
307;1637;8;200;1332;1514;60;960670;125;127;80.0;80.0;0
308;1929;6;275;1559;1514;60;1293883;138;147;80.0;80.0;0
309;1611;2;251;1302;1514;60;1086541;159;169;80.0;80.0;0
310;1603;5;294;1158;1514;60;999493;174;186;80.0;80.0;0
311;3380;7;293;2974;1514;60;2436150;174;186;80.0;25.0;0
312;1866;6;333;1409;1514;60;1248082;171;178;80.0;80.0;0
313;3298;6;313;2839;1514;60;2347520;161;163;8432.0;8432.0;0
314;3016;3;343;2612;1514;60;2203148;157;179;8432.0;8432.0;0
315;1981;3;434;1431;1514;60;1248510;191;183;80.0;80.0;0
316;2618;6;241;2319;1514;60;1874654;168;182;8432.0;8432.0;0
317;1675;2;258;1370;1514;60;1169544;134;136;80.0;8432.0;0
318;1309;7;274;970;1514;60;835744;139;155;80.0;2774.0;0
319;1619;2;263;1294;1514;60;1088763;153;155;80.0;80.0;0
320;1453;7;276;1064;1514;60;971879;162;179;80.0;80.0;0
321;1311;5;244;1020;1514;60;856757;153;164;80.0;80.0;0
322;1204;7;266;874;1514;60;717484;160;169;80.0;80.0;0
323;1160;10;257;823;1514;60;745205;150;154;80.0;80.0;0
324;1055;6;235;768;1514;60;669247;132;138;80.0;2774.0;0
325;1273;5;244;971;1514;60;904217;117;145;80.0;80.0;0
326;1405;10;240;1104;1514;60;927868;151;160;80.0;80.0;0
327;1510;6;258;1195;1514;60;1043061;166;181;80.0;80.0;0
328;1864;12;235;1579;1514;60;1414676;161;160;80.0;80.0;0
329;1472;5;249;1176;1514;60;982210;155;167;80.0;80.0;0
330;2549;6;329;2138;1514;60;1762583;198;236;80.0;80.0;0
331;2105;10;244;1772;1514;60;1390155;166;170;80.0;80.0;0
332;1693;10;243;1399;1514;60;1248623;158;177;80.0;80.0;0
333;1878;8;222;1565;1514;60;1456550;142;157;80.0;80.0;0
334;1544;8;227;1260;1514;60;1047812;148;157;80.0;80.0;0
335;1132;8;223;822;1514;60;653494;146;147;80.0;80.0;0
336;1288;5;228;981;1514;60;755497;157;175;80.0;80.0;0
337;1374;6;238;1061;1514;60;733929;163;165;80.0;80.0;0
338;2213;2;218;1928;1514;60;1599202;157;160;80.0;80.0;0
339;2940;4;211;2594;1514;60;2231594;152;157;80.0;80.0;0
340;2062;5;234;1757;1514;60;1456440;160;174;443.0;443.0;0
341;1453;10;233;1117;1514;60;885378;147;143;80.0;80.0;0
342;1352;6;227;1063;1514;60;845081;154;158;80.0;80.0;0
343;1042;7;214;783;1514;60;618051;140;146;80.0;2774.0;0
344;1101;5;282;778;1514;60;669094;153;168;80.0;2774.0;0
345;1049;12;229;748;1514;60;673536;153;147;80.0;2774.0;0
346;1239;1;250;925;1514;60;743101;162;185;80.0;80.0;0
347;1370;5;238;1077;1514;60;886321;167;165;80.0;80.0;0
348;1093;5;211;834;1514;60;641978;139;147;80.0;2774.0;0
349;1073;9;228;789;1514;60;647707;144;145;80.0;2774.0;0
350;1313;12;254;973;1514;60;842358;134;156;80.0;80.0;0
351;1110;6;196;845;1514;60;720340;131;132;80.0;80.0;0
352;1089;5;223;799;1514;60;675549;150;154;80.0;80.0;0
353;1411;7;230;1149;1514;60;818373;162;167;80.0;80.0;0
354;1118;6;224;861;1514;60;806805;123;139;80.0;80.0;0
355;972;3;225;695;1514;60;650365;112;115;80.0;80.0;0
356;1139;11;229;858;1514;60;763103;137;149;80.0;80.0;0
357;1214;7;214;941;1514;60;763291;144;150;80.0;80.0;0
358;1072;5;218;798;1514;60;646316;133;141;80.0;80.0;0
359;1582;10;227;1302;1514;60;1070740;149;154;80.0;80.0;0
360;2054;6;225;1780;1514;60;1631427;156;160;80.0;80.0;0
361;3290;2;238;2997;1514;60;2789201;182;182;80.0;50866.0;0
362;3583;3;249;3230;1514;60;3130616;176;189;80.0;50866.0;0
363;3665;1;261;3367;1514;60;3415457;172;175;80.0;50866.0;0
364;1999;8;218;1670;1514;60;1284428;153;155;80.0;80.0;0
365;1121;3;214;838;1514;60;659332;145;149;80.0;2774.0;0
366;1573;5;238;1287;1514;60;992701;158;169;80.0;80.0;0
367;1708;1;243;1365;1514;60;1257255;143;154;80.0;33396.0;0
368;1071;3;201;843;1514;60;751382;113;118;80.0;80.0;0
369;1707;5;235;1372;1514;60;1255138;131;143;80.0;80.0;0
370;1564;8;227;1308;1514;60;1126824;140;147;80.0;80.0;0
371;1336;3;231;1022;1514;60;904447;130;131;80.0;80.0;0
372;1409;3;244;1091;1514;60;971053;133;140;80.0;80.0;0
373;1432;4;246;1113;1514;60;959015;149;148;80.0;80.0;0
374;1247;2;229;978;1514;60;837262;144;147;80.0;80.0;0
375;1246;6;234;959;1514;60;869359;131;143;80.0;80.0;0
376;1098;2;243;799;1514;60;666488;141;150;80.0;80.0;0
377;1140;2;235;838;1514;60;736422;132;141;80.0;80.0;0
378;1152;3;231;894;1514;60;778729;126;131;80.0;80.0;0
379;2057;4;244;1762;1514;60;1395204;151;161;80.0;38235.0;0
380;2058;4;292;1669;1514;60;1306596;166;178;80.0;80.0;0
381;2238;2;258;1879;1514;60;1705207;177;181;80.0;80.0;0
382;1867;3;276;1540;1514;60;1279059;182;201;80.0;80.0;0
383;1437;3;254;1142;1514;60;1041012;138;136;80.0;80.0;0
384;1291;5;246;1009;1514;60;921665;139;138;80.0;80.0;0
385;1317;2;230;1048;1514;60;992454;122;128;80.0;80.0;0
386;1436;3;261;1137;1514;60;1057337;146;158;80.0;80.0;0
387;1416;4;244;1125;1514;60;987895;164;169;80.0;80.0;0
388;1409;6;219;1084;1514;60;822945;147;152;80.0;80.0;0
389;1363;3;268;1032;1514;60;893782;167;174;80.0;2774.0;0
390;1475;4;234;978;1514;60;822526;141;150;80.0;80.0;0
391;1111;6;218;851;1514;60;702502;133;148;80.0;80.0;0
392;1252;15;229;967;1514;60;791213;148;153;80.0;80.0;0
393;1139;7;229;841;1514;60;689601;151;154;80.0;2774.0;0
