;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
21;[0, 22];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;[0, 23];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;[0, 24];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;[0, 25];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;[0, 26];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;[0, 27];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;[0, 28];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;[0, 29];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;[0, 30];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;[0, 31];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;[0, 32];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;[0, 33];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;[0, 34];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;[0, 35];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;[0, 36];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;[0, 37];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;[0, 38];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;[0, 39];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;[0, 40];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;[0, 41];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;[0, 42];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;[0, 43];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;[0, 44];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;[0, 45];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;[0, 46];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;[0, 47];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;[0, 48];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;[0, 49];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;[0, 50];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;[0, 51];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;[0, 52];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;[0, 53];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;[0, 54];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;[0, 55];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;[0, 56];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;[0, 57];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;[0, 58];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;[0, 59];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;[0, 60];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;[0, 61];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;[0, 62];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;[0, 63];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;[0, 64];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;[0, 65];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;[0, 66];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;[0, 67];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;[0, 68];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;[0, 69];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;[0, 70];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;[0, 71];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;[0, 72];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;[0, 73];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;[0, 74];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;[0, 75];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;[0, 76];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;[0, 77];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;[0, 78];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;[0, 79];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;[0, 80];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;[0, 81];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;[0, 82];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;[0, 83];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;[0, 84];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;[0, 85];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;[0, 86];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;[0, 87];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;[0, 88];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;[0, 89];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;[0, 90];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;[0, 91];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;[0, 92];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;[0, 93];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;[0, 94];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;[0, 95];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;[0, 96];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;[0, 97];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;[0, 98];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;[0, 99];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;[0, 100];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;[0, 101];0.948199020885854;0.05232337007878654;0.021954137369977266;0.9245387872348441;0.0722413274531343;0.07074712601160552;17.0;0.061224489795918366;0.9611560530038304;0.038309465689667914;0.016911963043429797;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.951668832148205;0.045911800309422685;0.043679893080113406;0.9371817816183551;0.06242652599135083;0.08692317181955787;17.0;0.07142857142857142;0.4527360778490227;0.25368568368333705;0.2909124408381748;0.6131471927654584;0.2914516437928356;0.6666666666666666;5.0;0.5918367346938775;0.6837621522500986;0.19856260683753288;0.1469244646211745;0.768975708906196;0.22693319247888744;0.4642998757586343;15.0;0.5306122448979592
101;[1, 102];0.948199020885854;0.05232337007878654;0.021954137369977266;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.061224489795918366;0.9611560530038304;0.038309465689667914;0.016911963043429797;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.951668832148205;0.045911800309422685;0.043679893080113406;0.9371817816183551;0.06242652599135083;0.08692317181955787;17.0;0.07142857142857142;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.7737056144690833;0.2255157275432491;0.5;6.0;0.5816326530612245;0.6837621522500986;0.19856260683753288;0.1469244646211745;0.768975708906196;0.22693319247888744;0.4642998757586343;15.0;0.5408163265306123
102;[2, 103];0.950428060609807;0.05056064930026708;0.01989239546197348;0.956650471575569;0.04270672693661887;0.04078114315939366;17.0;0.061224489795918366;0.9631501296683791;0.036659999888576225;0.015169718195336615;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.951668832148205;0.045911800309422685;0.043679893080113406;0.9245387872348441;0.0722413274531352;0.09933548832678363;17.0;0.07142857142857142;0.4917634159532095;0.2524976594531382;0.21961907451819218;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6743081282718417;0.20071231200587614;0.15395280963125685;0.768975708906196;0.22693319247888744;0.4642998757586343;15.0;0.5510204081632654
103;[3, 104];0.950428060609807;0.05056064930026708;0.023424813731501615;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.061224489795918366;0.9658728896110438;0.0343126476075848;0.015591859693327407;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.946985122645927;0.050597414002030106;0.04942061642305655;0.9245387872348441;0.0722413274531352;0.09933548832678363;17.0;0.07142857142857142;0.49176341595320944;0.2524976594531377;0.22974674437365067;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6647631732366582;0.20272210647497063;0.15194383245094129;0.8255197379070639;0.16589883345222917;0.24549676691458833;15.0;0.5612244897959184
104;[4, 105];0.950428060609807;0.05056064930026708;0.01989239546197348;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.061224489795918366;0.9658728896110438;0.0343126476075848;0.012739724877848456;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.9481774961674376;0.04924175125735316;0.046485328046083824;0.9245387872348441;0.0722413274531352;0.09933548832678363;17.0;0.07142857142857142;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6546155240727105;0.20482655016057383;0.15996412489857467;0.768975708906196;0.1921360548717021;0.2451389963123499;15.0;0.5714285714285714
105;[5, 106];0.9493675692889277;0.051515491610129;0.02038876024251876;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.061224489795918366;0.9648123982901644;0.03530268341514629;0.01322380473824413;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.0510204081632653;0.9516688321482051;0.045911800309423156;0.04246455478546236;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6443797856823822;0.20676450901191853;0.15832571940721954;0.768975708906196;0.1921360548717021;0.2451389963123499;15.0;0.5816326530612245
106;[6, 107];0.9475907029349285;0.05311683513355018;0.017803488935186133;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9630355319361652;0.03696310095874199;0.011322899164699682;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.061224489795918366;0.9500849551670818;0.04713270408553339;0.04264120296946311;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6443797856823822;0.20676450901191853;0.15832571940721954;0.768975708906196;0.1921360548717021;0.2451389963123499;15.0;0.5816326530612245
107;[7, 108];0.9486427701892975;0.05231816420743213;0.016152158529241845;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.08163265306122448;0.9638424140355489;0.0363175752980528;0.009877649493768244;0.9488801212514659;0.05009849909615667;0.05273549718498637;18.0;0.07142857142857142;0.9500849551670818;0.04713270408553339;0.04264120296946311;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6443797856823822;0.20676450901191853;0.15832571940721954;0.768975708906196;0.1921360548717021;0.2451389963123499;15.0;0.5816326530612245
108;[8, 109];0.9448479457831678;0.055544937764741925;0.015235919942238291;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.08163265306122448;0.9602825526888237;0.03949415200374544;0.009457429819490874;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9445163379914527;0.052196976827041774;0.046095806793697264;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366;0.4917634159532095;0.2524976594531382;0.21961907451819218;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5714285714285714;0.6443797856823822;0.20676450901191853;0.15832571940721954;0.768975708906196;0.1921360548717021;0.2451389963123499;15.0;0.5816326530612245
109;[9, 110];0.9527971647047173;0.04713371142525861;0.01202575636410526;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.08163265306122448;0.9662233386560922;0.03335009212645287;0.00742711931029321;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9463257743872765;0.050837246436682;0.045622940162891853;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.7435032788101106;0.23349426159598274;0.417157287525381;7.0;0.5612244897959183;0.6443797856823822;0.20676450901191853;0.15832571940721954;0.768975708906196;0.1921360548717021;0.2451389963123499;15.0;0.5816326530612245
110;[10, 111];0.9519902826053335;0.04776197256013518;0.013487135856084676;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9656727940096075;0.033799421158314344;0.00866892693992511;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9413218486780348;0.0552371001285247;0.05052251648487402;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5510204081632653;0.6443797856823822;0.20676450901191853;0.15832571940721954;0.7948220404607836;0.18173766648056053;0.2416857264453281;14.0;0.5918367346938775
111;[11, 112];0.9501808462095098;0.04913686407998798;0.015369016262226724;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9614076342592301;0.03766346882849667;0.009222146896540651;0.9488801212514659;0.05009849909615667;0.04957860610893501;18.0;0.07142857142857142;0.9349086697622491;0.06105254693904693;0.055170431867743425;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5510204081632653;0.6259311405544186;0.21345129919836736;0.1705348256319883;0.8193845012292461;0.17046803724216045;0.23966333589488426;13.0;0.6020408163265306
112;[12, 113];0.9461506495185369;0.052699285536961224;0.0153806618502252;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9552105108390624;0.04394345034772788;0.01108435542852217;0.9607329284860074;0.03998276446058072;0.04961749388719514;18.0;0.07142857142857142;0.9386678505420546;0.05743848951552935;0.0505480128208608;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5510204081632653;0.632158408052296;0.20944874277798123;0.15954830729857494;0.7948220404607836;0.18173766648056053;0.2416857264453281;14.0;0.6020408163265306
113;[13, 114];0.9423474670836806;0.05578605187168993;0.017706336483258926;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9516242080892394;0.046951353035368314;0.013080900116647079;0.9607329284860074;0.03998276446058072;0.04961749388719514;18.0;0.07142857142857142;0.938103159075667;0.05805549526173282;0.05039080349884292;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5510204081632653;0.6378042842141797;0.20607438532100686;0.14854799398657084;0.9513282751069652;0.04725710404398422;0.04504521517654805;14.0;0.6020408163265306
114;[14, 115];0.9438109787376129;0.054460981539457096;0.01773591677985416;0.9566504715755689;0.04270672693661933;0.04078114315939366;17.0;0.07142857142857142;0.9534010744432386;0.045330848524085594;0.012966235834664216;0.9607329284860074;0.03998276446058072;0.04646060281114378;18.0;0.07142857142857142;0.9392955325971777;0.056723211110664994;0.05099050579520472;0.8314454838586239;0.16576716623440765;0.19574180681374548;17.0;0.061224489795918366;0.5010024421717076;0.2539766984922451;0.22418674044280879;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5612244897959183;0.6481267565042491;0.20421653746239402;0.13988422613520052;0.9513282751069652;0.04725710404398422;0.04504521517654805;14.0;0.6020408163265306
115;[15, 116];0.9461506495185369;0.052699285536961224;0.0153806618502252;0.988762155916294;0.011020915954694455;0.003367350481121461;17.0;0.07142857142857142;0.9552105108390624;0.04394345034772788;0.01108435542852217;0.9908376325554372;0.00919559653943412;0.003156891076051365;18.0;0.07142857142857142;0.9392955325971777;0.056723211110664994;0.05114972297920818;0.8856014073204163;0.13030509801016818;0.14246125995305925;17.0;0.061224489795918366;0.49176341595320944;0.2524976594531377;0.22974674437365067;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5714285714285714;0.6486914479706367;0.20394391559651523;0.14945444971065713;0.9513282751069652;0.04725710404398422;0.04504521517654805;14.0;0.6020408163265306
116;[16, 117];0.9454732473593982;0.053164788040647205;0.01572373970347469;0.988762155916294;0.011020915954694455;0.003367350481121461;17.0;0.07142857142857142;0.9545048032099718;0.04445336458889095;0.011341423583203156;0.9789848253208955;0.020031194717033057;0.011714322282044436;18.0;0.07142857142857142;0.9328823536813919;0.06251427941901262;0.05715334729848001;0.96929346595908;0.032098294201678645;0.021230629976529643;17.0;0.061224489795918366;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6378042842141797;0.20607438532100686;0.14854799398657084;0.9513282751069652;0.04725710404398422;0.04504521517654805;14.0;0.6020408163265306
117;[17, 118];0.9534010744432386;0.045330848524085594;0.012966235834664216;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.07142857142857142;0.9614076342592301;0.03766346882849667;0.009222146896540651;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.07142857142857142;0.9349086697622491;0.06105254693904693;0.05678065901878485;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.061224489795918366;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6378042842141797;0.20607438532100686;0.14854799398657084;0.9513282751069652;0.04725710404398422;0.04504521517654805;14.0;0.6020408163265306
118;[18, 119];0.955878649230918;0.043216302282675714;0.011758300710818861;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.07142857142857142;0.9636288715940103;0.03570904572070474;0.008265892524309048;0.9607329284860076;0.03998276446058026;0.03283178158198984;18.0;0.07142857142857142;0.9366381391757569;0.05982016545435711;0.05607666830615794;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.07142857142857142;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6481267565042491;0.20421653746239402;0.13988422613520052;0.9513282751069652;0.04725710404398422;0.04504521517654805;14.0;0.6020408163265306
119;[19, 120];0.955878649230918;0.043216302282675714;0.011758300710818861;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.07142857142857142;0.9636288715940103;0.03570904572070474;0.008265892524309048;0.9488801212514659;0.050098499096156206;0.05273549718498638;18.0;0.07142857142857142;0.9364212594907235;0.059961970857377075;0.056658806966551165;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.07142857142857142;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5816326530612245;0.6529128931116784;0.20138296197801608;0.14087780373746223;0.9475231583990615;0.051861150210481585;0.06843338576309793;15.0;0.6020408163265306
120;[20, 121];0.955878649230918;0.043216302282675714;0.011758300710818861;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.07142857142857142;0.9636288715940103;0.03570904572070474;0.008265892524309048;0.9607329284860076;0.03998276446058026;0.03283178158198984;18.0;0.07142857142857142;0.9349086697622491;0.06105254693904693;0.05678065901878485;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.061224489795918366;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.5887621559162939;0.2899544464646183;0.5;7.0;0.5918367346938775;0.6502058714221132;0.20286176788469848;0.13330626824583006;0.9699870314266158;0.03000430827113378;0.031095837482680737;15.0;0.6020408163265306
121;[21, 122];0.9488734094612016;0.05044308957947521;0.013830375976093915;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.061224489795918366;0.9576880856267417;0.04182085666638254;0.009770983763002861;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.9392955325971777;0.056723211110664994;0.05114972297920818;0.9566504715755689;0.04270672693661957;0.03842939779872145;17.0;0.0510204081632653;0.47261080231095715;0.24909244148174525;0.2316254436417791;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6020408163265306;0.6502058714221132;0.20286176788469848;0.13330626824583006;0.9699870314266158;0.03000430827113378;0.031095837482680737;15.0;0.6020408163265306
122;[22, 123];0.9400016032255281;0.05942114994567423;0.017162768075047175;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.061224489795918366;0.9499771382279345;0.04957621385443582;0.012345400353720158;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.9369558618162538;0.05846019081320357;0.05162170838254686;0.8729584129369051;0.13850724725576827;0.1710152588652167;17.0;0.0510204081632653;0.47261080231095715;0.24909244148174525;0.22093059002731105;0.5887621559162939;0.2899544464646183;0.5;7.0;0.6020408163265306;0.6502058714221132;0.20286176788469848;0.13330626824583006;0.9699870314266158;0.03000430827113378;0.031095837482680737;15.0;0.5918367346938775
123;[23, 124];0.9479508221470776;0.05109027262148307;0.014619232254115919;0.956650471575569;0.042706726936619574;0.048180355794852935;17.0;0.061224489795918366;0.9567260405447519;0.042529995209635206;0.010493030531870574;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.061224489795918366;0.9392955325971777;0.056723211110664994;0.05099050579520472;0.8729584129369051;0.13850724725576827;0.1710152588652167;17.0;0.0510204081632653;0.4824438515512401;0.25087096017536165;0.22527708193617582;0.7435032788101106;0.23349426159598274;0.417157287525381;7.0;0.5918367346938775;0.6502058714221132;0.20286176788469848;0.13330626824583006;0.9699870314266158;0.03000430827113378;0.031095837482680737;15.0;0.6020408163265306
