;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;TP_entropy;TP_complexity;TP_fisher_shanon;TP_edge_entropy;TP_edge_complexity;TP_edge_fisher_shannon;TP_number_nodes;TP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
21;[0, 22];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;[0, 23];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;[0, 24];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;[0, 25];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;[0, 26];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;[0, 27];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;[0, 28];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;[0, 29];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;[0, 30];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;[0, 31];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;[0, 32];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;[0, 33];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;[0, 34];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;[0, 35];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;[0, 36];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;[0, 37];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;[0, 38];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;[0, 39];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;[0, 40];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;[0, 41];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;[0, 42];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;[0, 43];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;[0, 44];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;[0, 45];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;[0, 46];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;[0, 47];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;[0, 48];0.985766789614124;0.014156591822020587;0.01689135097282348;0.9337851376692218;0.06368767510851153;0.02891914940907228;16.0;0.1111111111111111;0.9941482710648063;0.005773492445899072;0.005298132390859857;0.8340210330224773;0.15811503680854058;0.20576057613860446;17.0;0.06666666666666667;0.8830107380442725;0.09826834711189776;0.0825890155308145;0.7435400483818875;0.23422074162085108;0.15113376874032336;15.0;0.42222222222222217;0.9927973901200847;0.006985363080915263;0.0027183276293333207;0.9101663100395065;0.07964323437575208;0.05912533319524106;16.0;0.08888888888888889;0.9183648549256711;0.0710940949968052;0.05677533821532082;0.8509553984313722;0.1540793684887149;0.07503234250362908;15.0;0.37777777777777777
48;[1, 49];0.9791245150896442;0.020675041887168503;0.023674720563763747;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9903774568335717;0.00976725328441819;0.008710100266996432;0.8340210330224773;0.15811503680854058;0.20576057613860446;17.0;0.06666666666666667;0.8775021051768724;0.10373179073031247;0.07994094447294404;0.7099668737167834;0.24852003154992391;0.2162760032143158;16.0;0.42222222222222217;0.9945365970462872;0.005208758915529711;0.0015742025315860534;0.9101663100395065;0.07964323437575208;0.05912533319524106;16.0;0.1111111111111111;0.9159218453422566;0.07358794031192066;0.05275217533288694;0.8576611402529865;0.1510811565075867;0.059981854439686684;16.0;0.37777777777777777
49;[2, 50];0.9688239167388724;0.030849693258269424;0.03240041222242741;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9888568774850478;0.011207468523059674;0.011799572494033567;0.956650471575569;0.04270672693661887;0.04148713512942085;17.0;0.08888888888888889;0.8589086582459223;0.12000655519507454;0.1025004339504168;0.8030558648795092;0.1804977165081208;0.20483961835806372;15.0;0.42222222222222217;0.9974080573395324;0.00253062205312422;0.0014081370677778576;0.6230563278509151;0.25523390768489523;0.3372916523193308;16.0;0.1111111111111111;0.9014511139711471;0.08650469232399219;0.06897939674558534;0.7579183152070362;0.22995708369884055;0.12528809339894043;16.0;0.37777777777777777
50;[3, 51];0.9554576951041145;0.04449039630571322;0.046388087530058485;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9888568774850478;0.011207468523059674;0.011799572494033567;0.9151375424972876;0.0781069856660928;0.053280782233237026;17.0;0.08888888888888889;0.8393029678567002;0.13597274457096734;0.10932034561852418;0.8223773393621181;0.17115365265002777;0.2143163974770409;14.0;0.4444444444444444;0.9974080573395324;0.00253062205312422;0.0014081370677778576;0.6230563278509151;0.25523390768489523;0.3372916523193308;16.0;0.1111111111111111;0.8859681391417655;0.09954727208052157;0.07369189091603404;0.7099668737167834;0.24852003154992391;0.2162760032143158;16.0;0.4
51;[4, 52];0.9539371157555906;0.04582341447202047;0.05258296985393576;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.08888888888888889;0.9842462102656001;0.0155831811106515;0.01942404235221165;0.7787859454862932;0.18604627744214663;0.22630928720465232;17.0;0.08888888888888889;0.832954482001087;0.1433139818390991;0.13789866777662851;0.7060107101418428;0.24678746548639668;0.18024291988790236;14.0;0.4444444444444444;0.9974080573395324;0.00253062205312422;0.0006826924394249337;0.8661327173632023;0.11348422351612474;0.07074712601160554;17.0;0.1111111111111111;0.881845423581925;0.10427693265684088;0.09203470063874658;0.6670920051573339;0.2526444783240723;0.17523733499331465;16.0;0.4
52;[5, 53];0.9539371157555906;0.04582341447202047;0.05258296985393576;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.06666666666666667;0.9796355430461523;0.01991740836591886;0.02620492960666513;0.7787859454862932;0.18604627744214663;0.22630928720465232;17.0;0.08888888888888889;0.8281961386298764;0.14510700544366614;0.1429034772476696;0.7579018714896945;0.23054097407675364;0.1464984597777398;14.0;0.42222222222222217;0.9974080573395324;0.00253062205312422;0.0006826924394249337;0.9151375424972876;0.0781069856660928;0.03306575737715664;17.0;0.1111111111111111;0.8784755826355009;0.10591416138796807;0.09578213208953691;0.7099668737167834;0.24852003154992391;0.2162760032143158;16.0;0.37777777777777777
53;[6, 54];0.9617947045229482;0.03870144566592792;0.04236485026329803;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.06666666666666667;0.9796355430461523;0.01991740836591886;0.026957833621864987;0.7787859454862932;0.18604627744214663;0.22630928720465232;17.0;0.08888888888888889;0.8217866861467512;0.1475143555023526;0.1482949111203588;0.7177622660637883;0.24528008890503622;0.25299153207185376;14.0;0.4444444444444444;0.9974080573395324;0.00253062205312422;0.0006826924394249337;0.8314454838586239;0.16576716623440682;0.21972088249543617;17.0;0.1111111111111111;0.8733793896170319;0.10838746866697828;0.0999602813166654;0.6102240486708332;0.2912574170014112;0.5019902889286014;16.0;0.4
54;[7, 55];0.9673033373903484;0.032224767363485174;0.04076652944214048;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.06666666666666667;0.9776039357411203;0.02208158505364083;0.029256657505112034;0.8340210330224773;0.15811503680854058;0.20576057613860446;17.0;0.08888888888888889;0.8353235108461907;0.13329426348538284;0.11388772677260851;0.8223773393621181;0.17115365265002777;0.14732909936926022;14.0;0.4444444444444444;0.9974080573395325;0.0025306220531242205;0.0010454147536013956;0.8661327173632023;0.11348422351612474;0.07074712601160554;17.0;0.1111111111111111;0.8805677284608583;0.1005758766078773;0.07966111448500855;0.699894111497973;0.25017682357615134;0.3850677625923424;16.0;0.4
55;[8, 56];0.9673033373903484;0.032224767363485174;0.04076652944214048;0.9566504715755689;0.042706726936618866;0.018214372942641072;17.0;0.06666666666666667;0.9750377405535212;0.024237960835921404;0.03108476564700214;0.9050700972776302;0.07881904030269897;0.0471647506744037;17.0;0.08888888888888889;0.8417329633293161;0.13070100428781786;0.10951595172402533;0.8223773393621181;0.17115365265002777;0.14732909936926022;14.0;0.42222222222222217;0.9958874779910087;0.003992321765726094;0.0027280898611403586;0.8893069993710631;0.09813669581749143;0.06649030222042507;16.0;0.13333333333333333;0.8856639214793272;0.09802678417297286;0.07630889340248843;0.7207534221664165;0.24116532247506456;0.36967461997594575;16.0;0.37777777777777777
56;[9, 57];0.9570027390395764;0.04214696950220956;0.05481048952157623;0.8314454838586239;0.16576716623440765;0.13776924809850102;17.0;0.06666666666666667;0.9673033373903484;0.03222476736348541;0.04450060591264532;0.93102562070795;0.060196592948233346;0.036378229648959315;16.0;0.08888888888888889;0.8619742815299081;0.11699086426840695;0.10407200033584528;0.8223773393621181;0.17115365265002777;0.14732909936926022;14.0;0.42222222222222217;0.9941482710648061;0.00577349244589907;0.0050702919865479226;0.8549016232917147;0.14756223630584744;0.23042535263429018;16.0;0.13333333333333333;0.9014511139711471;0.08650469232399219;0.06897939674558534;0.8204962472123667;0.17013020891482739;0.14964868947945253;16.0;0.37777777777777777
57;[10, 58];0.9647371422027494;0.034330223710291076;0.04060255328079943;0.7308602844265996;0.23794825093341102;0.32859547920896826;17.0;0.06666666666666667;0.9750377405535212;0.024237960835921404;0.03108476564700214;0.93102562070795;0.060196592948233346;0.036378229648959315;16.0;0.08888888888888889;0.8472415961967161;0.1256894224831287;0.11497948314935698;0.819157902907301;0.16695633133423196;0.07695906478821046;14.0;0.42222222222222217;0.99566885041333;0.004317087184805844;0.0033435247418012815;0.9337851376692218;0.06368767510851153;0.037566479268857145;16.0;0.13333333333333333;0.8881069310627415;0.0956956896477663;0.07992102845445612;0.8204962472123667;0.17013020891482739;0.14964868947945253;16.0;0.37777777777777777
58;[11, 59];0.9750377405535212;0.024237960835921404;0.03108476564700214;0.7308602844265996;0.23794825093341102;0.32859547920896826;17.0;0.06666666666666667;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.93102562070795;0.060196592948233346;0.036378229648959315;16.0;0.08888888888888889;0.8658350431276662;0.10982607397675402;0.08908107624991855;0.8625169447880242;0.14712370492236546;0.17807657494132412;14.0;0.42222222222222217;0.99566885041333;0.004317087184805844;0.00407554999336354;0.9245387872348441;0.07224132745313476;0.011479671980398148;17.0;0.13333333333333333;0.9025776624338512;0.08315797672272741;0.06229248492759643;0.8204962472123667;0.17013020891482739;0.14964868947945253;16.0;0.37777777777777777
59;[12, 60];0.9828953293208786;0.016769343668210125;0.021923807315093358;0.6950938868476295;0.24530903505634497;0.32866103256532453;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.9101663100395065;0.0796432343757516;0.04938985499211772;16.0;0.1111111111111111;0.8513643117565567;0.12128763737136575;0.09571765860503241;0.7948220404607839;0.18173766648056056;0.1735326226790129;14.0;0.42222222222222217;0.9924090641386036;0.0075484066138795285;0.005174916676877966;0.9337851376692216;0.0636876751085113;0.02783100106573378;16.0;0.13333333333333333;0.8911725543467274;0.09246533707529561;0.06599317611631011;0.9337851376692218;0.06368767510851153;0.02891914940907228;16.0;0.37777777777777777
60;[13, 61];0.9828953293208786;0.016769343668210125;0.021923807315093358;0.6950938868476295;0.24530903505634497;0.32866103256532453;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.8785204509214299;0.09829273765383936;0.0627888668121332;16.0;0.1111111111111111;0.8685400066731629;0.11022328099937197;0.09318726175246478;0.7948220404607839;0.18173766648056056;0.1735326226790129;14.0;0.4;0.9941482710648061;0.00577349244589907;0.0050702919865479226;0.7679910774258466;0.22732625706530538;0.2525641703473033;16.0;0.13333333333333333;0.9069597468385472;0.08075283518724065;0.06168750962144409;0.8576611402529865;0.11555460239032674;0.08268451481081396;16.0;0.3555555555555555
61;[14, 62];0.981680015078001;0.01777197596008632;0.023585286556258852;0.6756251968904156;0.25328103311008354;0.3593431382531769;17.0;0.08888888888888889;0.9702749069908772;0.028843071041205808;0.03716083071324973;0.743216002573569;0.2012435937042745;0.2518779861183701;16.0;0.1111111111111111;0.8825982981953415;0.10121389830523096;0.08444962647140129;0.7060107101418428;0.24678746548639632;0.3973290993692602;14.0;0.37777777777777777;0.991276810771561;0.008433436843506815;0.005101400101081574;0.8023964535051947;0.1763951939236088;0.27274710354628173;16.0;0.13333333333333333;0.9195451328057106;0.07147763227441059;0.052728272560458304;0.8785204509214299;0.09829273765383936;0.08729165231933081;16.0;0.33333333333333337
62;[15, 63];0.985766789614124;0.014156591822020587;0.01689135097282348;0.6756251968904156;0.25328103311008354;0.3593431382531769;17.0;0.08888888888888889;0.975466191263352;0.02447207101546795;0.029092952744017398;0.743216002573569;0.2012435937042745;0.2518779861183701;16.0;0.1111111111111111;0.9014511139711471;0.08650469232399219;0.07266123062418627;0.7060107101418428;0.24678746548639632;0.3973290993692602;14.0;0.3555555555555555;0.9895376038453584;0.010198490045190712;0.009734420594583305;0.8785204509214299;0.09829273765383936;0.09341925500696688;16.0;0.13333333333333333;0.9337640721554977;0.05979613178747748;0.04526178961222408;0.8785204509214299;0.09829273765383936;0.08729165231933081;16.0;0.3111111111111111
63;[16, 64];0.981680015078001;0.01777197596008632;0.023585286556258852;0.7593172555290794;0.1980767680018762;0.20814652542443546;17.0;0.08888888888888889;0.9702749069908772;0.028843071041205808;0.03716083071324973;0.8893069993710631;0.09813669581749122;0.09284502909731823;16.0;0.1111111111111111;0.9195451328057106;0.07147763227441059;0.052728272560458304;0.6869960193810197;0.2500008708170431;0.40522686095624016;15.0;0.3555555555555555;0.9941482710648061;0.00577349244589907;0.0050702919865479226;0.9101663100395065;0.0796432343757516;0.04938985499211772;16.0;0.13333333333333333;0.9337640721554977;0.05979613178747748;0.04526178961222408;0.8785204509214299;0.09829273765383936;0.08729165231933081;16.0;0.3111111111111111
64;[17, 65];0.975466191263352;0.02447207101546795;0.029092952744017398;0.6756251968904156;0.25328103311008354;0.42025650515289115;17.0;0.08888888888888889;0.9609954598922424;0.03911840743557825;0.04612234231208108;0.9101663100395065;0.07964323437575208;0.05912533319524106;16.0;0.1111111111111111;0.9140364999383105;0.07737891707129504;0.07099815293500139;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.3555555555555555;0.9875059965403264;0.012405372984442392;0.010265128793069902;0.8340423126232713;0.16301782493737846;0.1897272706771118;16.0;0.13333333333333333;0.9164795095217247;0.07490113167831645;0.06426751678267356;0.6670920051573339;0.2526444783240726;0.4119963708879374;16.0;0.33333333333333337
65;[18, 66];0.981680015078001;0.01777197596008632;0.01929416492544158;0.7593172555290794;0.1980767680018762;0.20814652542443546;17.0;0.08888888888888889;0.9702749069908772;0.028843071041205808;0.03716083071324973;0.743216002573569;0.2012435937042745;0.2518779861183701;16.0;0.1111111111111111;0.9104132124748566;0.079449748804003;0.07406866753992461;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.3333333333333333;0.9875059965403264;0.012405372984442633;0.012794506789534893;0.9101663100395065;0.0796432343757516;0.04938985499211772;16.0;0.11111111111111112;0.9128562220582708;0.0769889569186132;0.06733803138759678;0.6670920051573339;0.2526444783240726;0.4119963708879374;16.0;0.3333333333333333
66;[19, 67];0.985766789614124;0.014156591822020587;0.01689135097282348;0.7787859454862934;0.1860462774421467;0.14417256670006054;17.0;0.08888888888888889;0.9739456119148281;0.02586719124284229;0.03616833206039447;0.7182172900430887;0.20899130617147;0.2511966128287415;17.0;0.1111111111111111;0.916239193937182;0.0748810061858234;0.07113203716454157;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.3111111111111111;0.9875059965403264;0.012405372984442633;0.011750431984213185;0.9101663100395065;0.0796432343757516;0.04938985499211772;16.0;0.11111111111111112;0.9186822035205963;0.07238961105230746;0.06339420380601526;0.6670920051573339;0.2526444783240726;0.4119963708879374;16.0;0.3111111111111111
67;[20, 68];0.9828953293208786;0.016769343668210125;0.021923807315093358;0.6014051502998049;0.2560814367838198;0.3367006838144548;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.7182172900430887;0.20899130617147;0.2511966128287415;17.0;0.1111111111111111;0.916239193937182;0.0748810061858234;0.07113203716454157;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.28888888888888886;0.9828953293208786;0.016769343668210125;0.01691637472002149;0.8785204509214299;0.09829273765383936;0.08116404963169475;16.0;0.11111111111111112;0.925324478045076;0.06666257534482735;0.06094767862747349;0.6670920051573339;0.2526444783240726;0.4119963708879374;16.0;0.28888888888888886
68;[21, 69];0.9895376038453586;0.010198490045190713;0.013640126305901844;0.5303560860446522;0.2801874762127893;0.5;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.7182172900430887;0.20899130617147;0.2511966128287415;17.0;0.13333333333333333;0.916239193937182;0.0748810061858234;0.07113203716454157;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.28888888888888886;0.9751609261577058;0.02488289793311156;0.02405242582572047;0.6918670800096115;0.2508223135093226;0.41456054123524055;16.0;0.11111111111111112;0.9268450573935999;0.0654081672716889;0.060725752569345724;0.9101663100395065;0.07964323437575184;0.08344127926964712;16.0;0.26666666666666666
69;[22, 70];0.9941482710648063;0.005773492445899315;0.007945758726946315;0.6014051502998049;0.25608143678382006;0.4424197796562485;17.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.035571149230323826;0.6014051502998049;0.2560814367838198;0.3367006838144548;17.0;0.13333333333333333;0.9208498611566297;0.07111506120259552;0.0754122151590547;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.28888888888888886;0.9693349446953805;0.030105621084284398;0.028633143056657664;0.8509553984313722;0.1540793684887149;0.2121524244102213;15.0;0.08888888888888889;0.9306158716248347;0.061900930642591466;0.06342691475612638;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.26666666666666666
70;[23, 71];0.9941482710648063;0.005773492445899315;0.005759565049182192;0.7432160025735691;0.20124359370427453;0.2136103845556526;16.0;0.08888888888888889;0.9725947309701068;0.027026208530179247;0.030342551297899083;0.5303560860446522;0.2801874762127893;0.5;17.0;0.13333333333333333;0.9208498611566297;0.07111506120259552;0.06752374032098624;0.6893473553483181;0.252494764279711;0.3785017940672937;17.0;0.28888888888888886;0.9717779542787947;0.027334911452939564;0.024622419466139054;0.8509553984313722;0.1540793684887149;0.2121524244102213;15.0;0.08888888888888889;0.9172716887164292;0.07182873121459746;0.07240946120438177;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.26666666666666666
71;[24, 72];0.9875059965403264;0.012405372984442633;0.013195702696840958;0.8340423126232713;0.16301782493737926;0.15653271213497486;16.0;0.08888888888888889;0.9592285093353491;0.04077662147038318;0.047492977405987576;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.13333333333333333;0.9296644328925585;0.0650551098172626;0.0690949987908004;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.26666666666666666;0.9717779542787947;0.027334911452939564;0.02559633678661282;0.9924509044541705;0.007078154738359441;0.0038854044012939922;15.0;0.08888888888888889;0.9253244780450762;0.06666257534482736;0.06970592699696529;0.699894111497973;0.250176823576152;0.3850677625923423;16.0;0.24444444444444446
72;[25, 73];0.9895376038453584;0.010198490045190712;0.009917983326985194;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.08888888888888889;0.9540372250628743;0.04498184886267244;0.054835410746866986;0.6918670800096115;0.2508223135093226;0.41456054123524055;16.0;0.13333333333333333;0.9376695484276968;0.0593236615052774;0.06688240503453163;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.24444444444444446;0.9693349446953805;0.030105621084284398;0.028633143056657664;0.8509553984313722;0.1540793684887149;0.1877034055490073;15.0;0.08888888888888889;0.9341390497810049;0.06052447417261144;0.06257488040416838;0.8204962472123668;0.1701302089148274;0.29250583233659533;16.0;0.22222222222222224
73;[26, 74];0.9895376038453584;0.010198490045190712;0.009917983326985194;0.8661327173632023;0.11348422351612474;0.10576057613860451;17.0;0.08888888888888889;0.9406350624043989;0.060216669799358406;0.07990949353213997;0.7815371428367515;0.1896660058641099;0.20131853211771028;16.0;0.13333333333333333;0.9419358338223669;0.056387818404016084;0.06282200692277762;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.2222222222222222;0.9717779542787947;0.027334911452939564;0.024622419466139054;0.8509553984313722;0.1540793684887149;0.2121524244102213;15.0;0.08888888888888889;0.9406235859676193;0.05601740598197427;0.05633019797656141;0.920239072258317;0.07371028253262968;0.07247990184010214;16.0;0.2222222222222222
74;[27, 75];0.9869714086577595;0.012413483334262196;0.010515280285495383;0.8661327173632023;0.11348422351612474;0.10576057613860451;17.0;0.08888888888888889;0.9316729639006895;0.06774273191975523;0.09144755779476627;0.8441150748420817;0.1587359356990499;0.1908710771218552;16.0;0.13333333333333333;0.9440525870169908;0.05493210855074756;0.0594815658576639;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.2222222222222222;0.9770693478585531;0.02208418734521187;0.020765066699396425;0.9475231583990614;0.05186115021048158;0.04510835708300518;15.0;0.08888888888888889;0.9448898713622894;0.05305566568905943;0.050871713617959745;0.920239072258317;0.07371028253262968;0.07247990184010214;16.0;0.2222222222222222
75;[28, 76];0.9887106155839619;0.010656995656582655;0.006815600190967088;0.9761191615327829;0.02213151372672462;0.014805542164708783;17.0;0.08888888888888889;0.9237302292437402;0.07383224441002943;0.10388692759851609;0.8097096987627334;0.18039783327647607;0.21428571428571433;16.0;0.13333333333333333;0.9440525870169908;0.05493210855074756;0.05682561364198685;0.8019093486817525;0.17888781461463435;0.15288384651619735;17.0;0.24444444444444444;0.9784202288032747;0.02091266802966534;0.018305714336162508;0.9475231583990614;0.05186115021048158;0.04510835708300518;15.0;0.08888888888888889;0.9470066245569133;0.05158714337470887;0.04613163987529316;0.920239072258317;0.07371028253262968;0.07247990184010214;16.0;0.24444444444444444
76;[29, 77];0.9904498225101643;0.008894251466710353;0.004892078534953867;0.9761191615327829;0.02213151372672462;0.014805542164708783;17.0;0.08888888888888889;0.9337045712057215;0.06578400691996769;0.091353359471326;0.9337851376692216;0.0636876751085113;0.05846138926056747;16.0;0.13333333333333333;0.9425320076684669;0.05623066905511356;0.06354067199380539;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.24444444444444444;0.9837116223830332;0.015589494241907555;0.013347994836965785;0.9329350879565486;0.06252685030320915;0.04040834656244904;15.0;0.08888888888888889;0.9502664108316397;0.04865708140407721;0.0499121235208897;0.7996369365439233;0.18407499204038202;0.19998788624017538;16.0;0.24444444444444444
77;[30, 78];0.9887106155839618;0.010656995656582654;0.007234280660361431;0.96929346595908;0.03209829420167817;0.026949725818323306;17.0;0.08888888888888889;0.9337045712057215;0.06578400691996769;0.091353359471326;0.7099668737167834;0.24852003154992353;0.39484743178574433;16.0;0.13333333333333333;0.9539371157555906;0.045823414472020006;0.05047619729022552;0.7088160453055321;0.24405381453442074;0.35824138164625774;17.0;0.2222222222222222;0.9895376038453584;0.010198490045190712;0.009499302857590852;0.9329350879565486;0.06252685030320915;0.04040834656244904;15.0;0.06666666666666667;0.9636326324663971;0.035154812523632416;0.0346823290034734;0.8204962472123667;0.17013020891482739;0.14964868947945253;16.0;0.2222222222222222
