;Unnamed: 0;frame_time;total_pacotes;total_pacotes_icmp;total_pacotes_udp;total_pacotes_tcp;maior_pacote;menor_pacote;soma_pacotes;total_ips_origem;total_ips_destino;porta_origem_mais_frequente;porta_destino_mais_frequente;has_bot;has_bot_origem_destino
44;44;"0    Sep  6, 2018 07:27:20.000193000 -03
Name: time, dtype: object";75755;14;0;75721;90;60;4546104;23;37842;0;0;0;0
45;45;"0    Sep  6, 2018 07:28:20.524274000 -03
Name: time, dtype: object";75610;20;0;75558;110;60;4538036;31;37765;0;0;0;0
46;46;"0    Sep  6, 2018 07:29:20.297006000 -03
Name: time, dtype: object";76338;20;0;76298;110;60;4582124;29;38080;0;0;0;0
47;47;"0    Sep  6, 2018 07:30:20.052004000 -03
Name: time, dtype: object";76022;16;0;75974;90;60;4562496;30;37973;0;0;0;0
48;48;"0    Sep  6, 2018 07:31:20.000126000 -03
Name: time, dtype: object";75844;18;0;75806;182;60;4551828;28;37870;0;0;0;0
49;49;"0    Sep  6, 2018 07:32:20.108418000 -03
Name: time, dtype: object";76266;20;0;76214;110;60;4577200;34;38076;0;0;0;0
50;50;"0    Sep  6, 2018 07:33:20.129005000 -03
Name: time, dtype: object";75942;12;0;75898;90;60;4557700;24;37920;0;0;0;0
51;51;"0    Sep  6, 2018 07:34:20.014638000 -03
Name: time, dtype: object";75942;10;0;75912;110;60;4557624;23;37921;0;0;0;0
52;52;"0    Sep  6, 2018 07:35:20.309806000 -03
Name: time, dtype: object";76064;20;0;76008;90;60;4565088;27;37979;0;0;0;0
53;53;"0    Sep  6, 2018 07:36:20.000051000 -03
Name: time, dtype: object";76138;16;0;76094;110;60;4569564;24;38020;0;0;0;0
54;54;"0    Sep  6, 2018 07:37:20.020873000 -03
Name: time, dtype: object";75956;12;0;75916;110;60;4558612;26;37923;0;0;0;0
55;55;"0    Sep  6, 2018 07:38:20.297285000 -03
Name: time, dtype: object";76248;14;0;76210;90;60;4575664;29;38079;0;0;0;0
56;56;"0    Sep  6, 2018 07:39:20.367317000 -03
Name: time, dtype: object";75588;12;0;75550;110;60;4536200;21;37763;0;0;0;0
57;57;"0    Sep  6, 2018 07:40:20.040829000 -03
Name: time, dtype: object";76272;16;0;76235;993;60;4579564;27;38075;0;0;0;0
58;58;"0    Sep  6, 2018 07:41:20.056377000 -03
Name: time, dtype: object";76250;18;0;76208;90;60;4575916;28;38082;0;0;0;0
59;59;"0    Sep  6, 2018 07:42:20.332543000 -03
Name: time, dtype: object";75644;10;0;75614;110;60;4539692;26;37763;0;0;0;0
60;60;"0    Sep  6, 2018 07:43:20.000027000 -03
Name: time, dtype: object";76238;10;0;76210;90;60;4575104;23;38072;0;0;0;0
61;61;"0    Sep  6, 2018 07:44:20.073550000 -03
Name: time, dtype: object";75928;18;0;75888;90;60;4556556;23;37921;0;0;0;0
62;62;"0    Sep  6, 2018 07:45:20.115583000 -03
Name: time, dtype: object";75604;22;0;75554;110;60;4537440;25;37765;0;0;0;0
63;63;"0    Sep  6, 2018 07:46:20.017203000 -03
Name: time, dtype: object";76606;14;0;76572;90;60;4597644;23;38238;0;0;0;0
64;64;"0    Sep  6, 2018 07:47:20.127451000 -03
Name: time, dtype: object";75896;16;0;75864;90;60;4554508;19;37917;0;0;0;0
65;65;"0    Sep  6, 2018 07:48:20.396857000 -03
Name: time, dtype: object";75600;18;0;75554;90;60;4536944;22;37765;0;0;0;0
66;66;"0    Sep  6, 2018 07:49:20.056524000 -03
Name: time, dtype: object";76572;14;0;76538;110;60;4595292;23;38240;0;0;0;0
67;67;"0    Sep  6, 2018 07:50:20.145446000 -03
Name: time, dtype: object";75946;20;0;75904;110;60;4558000;31;37917;0;0;0;0
68;68;"0    Sep  6, 2018 07:51:20.391045000 -03
Name: time, dtype: object";75624;22;0;75578;90;60;4538452;31;37765;0;0;0;0
69;69;"0    Sep  6, 2018 07:52:20.048519000 -03
Name: time, dtype: object";76264;16;0;76222;90;60;4576972;28;38086;0;0;0;0
70;70;"0    Sep  6, 2018 07:53:20.180490000 -03
Name: time, dtype: object";76166;18;0;76128;90;60;4570624;18;38054;0;0;0;0
71;71;"0    Sep  6, 2018 07:54:20.000165000 -03
Name: time, dtype: object";75666;20;0;75616;90;60;4541004;32;37778;0;0;0;0
72;72;"0    Sep  6, 2018 07:55:20.052231000 -03
Name: time, dtype: object";75958;30;0;75908;90;60;4558664;35;37921;0;0;0;0
73;73;"0    Sep  6, 2018 07:56:20.203257000 -03
Name: time, dtype: object";76288;22;0;76238;90;60;4578412;34;38085;0;0;0;0
74;74;"0    Sep  6, 2018 07:57:20.056714000 -03
Name: time, dtype: object";75918;8;0;75878;90;60;4555844;21;37922;0;0;0;0
75;75;"0    Sep  6, 2018 07:58:20.057102000 -03
Name: time, dtype: object";75900;8;0;75876;90;60;4554728;19;37919;0;0;0;0
76;76;"0    Sep  6, 2018 07:59:20.213394000 -03
Name: time, dtype: object";76222;26;0;76172;110;60;4574360;24;38075;0;0;0;0
77;77;"0    Sep  6, 2018 08:00:20.037397000 -03
Name: time, dtype: object";75592;14;0;75558;90;60;4536276;22;37762;0;0;0;0
78;78;"0    Sep  6, 2018 08:01:20.062048000 -03
Name: time, dtype: object";76238;24;0;76192;90;60;4575156;27;38085;0;0;0;0
79;79;"0    Sep  6, 2018 08:02:20.219383000 -03
Name: time, dtype: object";76228;6;0;76206;90;60;4574284;24;38078;0;0;0;0
80;80;"0    Sep  6, 2018 08:03:20.117117000 -03
Name: time, dtype: object";75752;26;0;75704;848;60;4556368;33;37781;0;0;0;0
81;81;"0    Sep  6, 2018 08:04:20.000124000 -03
Name: time, dtype: object";76206;20;0;76157;848;60;4574720;32;38056;0;0;0;0
82;82;"0    Sep  6, 2018 08:05:20.239176000 -03
Name: time, dtype: object";76230;14;0;76196;90;60;4574632;23;38080;0;0;0;0
83;83;"0    Sep  6, 2018 08:06:20.380557000 -03
Name: time, dtype: object";75654;14;0;75616;110;60;4540628;23;37761;0;0;0;0
84;84;"0    Sep  6, 2018 08:07:20.050187000 -03
Name: time, dtype: object";76318;18;0;76273;267;60;4582534;24;38082;0;0;0;0
85;85;"0    Sep  6, 2018 08:08:20.421677000 -03
Name: time, dtype: object";75620;12;0;75582;267;60;4539446;22;37762;0;0;0;0
86;86;"0    Sep  6, 2018 08:09:20.093322000 -03
Name: time, dtype: object";76240;10;0;76206;90;60;4574956;29;38080;0;0;0;0
87;87;"0    Sep  6, 2018 08:10:20.253441000 -03
Name: time, dtype: object";76232;20;0;76190;90;60;4574832;22;38083;0;0;0;0
88;88;"0    Sep  6, 2018 08:11:20.481273000 -03
Name: time, dtype: object";75628;12;0;75592;90;60;4538644;28;37761;0;0;0;0
89;89;"0    Sep  6, 2018 08:12:20.153446000 -03
Name: time, dtype: object";75964;22;0;75916;887;60;4561978;33;37922;0;0;0;0
90;90;"0    Sep  6, 2018 08:13:20.264589000 -03
Name: time, dtype: object";75916;18;0;75878;90;60;4555784;29;37917;0;0;0;0
91;91;"0    Sep  6, 2018 08:14:20.011699000 -03
Name: time, dtype: object";75926;26;0;75876;110;60;4556768;31;37919;0;0;0;0
92;92;"0    Sep  6, 2018 08:15:20.175327000 -03
Name: time, dtype: object";76244;24;0;76196;110;60;4575620;27;38080;0;0;0;0
93;93;"0    Sep  6, 2018 08:16:20.153565000 -03
Name: time, dtype: object";75586;16;0;75548;90;60;4535956;27;37755;0;0;0;0
94;94;"0    Sep  6, 2018 08:17:20.000131000 -03
Name: time, dtype: object";76242;20;0;76206;90;60;4575316;28;38077;0;0;0;0
95;95;"0    Sep  6, 2018 08:18:20.170756000 -03
Name: time, dtype: object";75914;22;0;75872;110;60;4555904;27;37919;0;0;0;0
96;96;"0    Sep  6, 2018 08:19:20.118266000 -03
Name: time, dtype: object";75934;20;0;75896;110;60;4557060;28;37923;0;0;0;0
97;97;"0    Sep  6, 2018 08:20:20.020314000 -03
Name: time, dtype: object";76242;16;0;76202;182;60;4575656;23;38075;0;0;0;0
98;98;"0    Sep  6, 2018 08:21:20.092494000 -03
Name: time, dtype: object";76336;22;0;76294;848;60;4591360;30;38078;0;0;0;0
99;99;"0    Sep  6, 2018 08:22:20.134956000 -03
Name: time, dtype: object";75930;12;0;75897;848;60;4558148;24;37919;0;0;0;0
100;100;"0    Sep  6, 2018 08:23:20.296045000 -03
Name: time, dtype: object";75920;22;0;75872;90;60;4556164;26;37925;0;0;0;0
101;101;"0    Sep  6, 2018 08:24:20.035928000 -03
Name: time, dtype: object";76254;20;0;76214;90;60;4576272;26;38082;0;0;0;0
102;102;"0    Sep  6, 2018 08:25:20.116840000 -03
Name: time, dtype: object";75936;12;0;75892;90;60;4556952;33;37920;0;0;0;0
103;103;"0    Sep  6, 2018 08:26:20.318672000 -03
Name: time, dtype: object";75914;14;0;75880;182;60;4555764;28;37918;0;0;0;0
104;104;"0    Sep  6, 2018 08:27:20.052742000 -03
Name: time, dtype: object";76220;30;0;76164;90;60;4574100;35;38056;0;0;0;0
105;105;"0    Sep  6, 2018 08:28:20.000169000 -03
Name: time, dtype: object";75970;24;0;75920;90;60;4559236;27;37947;0;0;0;0
106;106;"0    Sep  6, 2018 08:29:20.359872000 -03
Name: time, dtype: object";75624;18;0;75578;110;60;4538560;31;37759;0;0;0;0
107;107;"0    Sep  6, 2018 08:30:20.041669000 -03
Name: time, dtype: object";76226;8;0;76194;90;60;4574120;20;38077;0;0;0;0
108;108;"0    Sep  6, 2018 08:31:20.006799000 -03
Name: time, dtype: object";76248;14;0;76214;90;60;4575600;23;38085;0;0;0;0
109;109;"0    Sep  6, 2018 08:32:20.413167000 -03
Name: time, dtype: object";75644;38;0;75576;110;60;4540064;36;37760;0;0;0;0
110;110;"0    Sep  6, 2018 08:33:20.103185000 -03
Name: time, dtype: object";76290;18;0;76248;90;60;4578560;26;38082;0;0;0;0
111;111;"0    Sep  6, 2018 08:34:20.180723000 -03
Name: time, dtype: object";75904;14;0;75874;90;60;4555048;19;37915;0;0;0;0
112;112;"0    Sep  6, 2018 08:35:20.473135000 -03
Name: time, dtype: object";75614;6;0;75584;90;60;4537636;23;37761;0;0;0;0
113;113;"0    Sep  6, 2018 08:36:20.145653000 -03
Name: time, dtype: object";76538;10;0;76508;90;60;4592888;18;38239;0;0;0;0
114;114;"0    Sep  6, 2018 08:37:20.188943000 -03
Name: time, dtype: object";75906;6;0;75884;110;60;4555068;20;37917;0;0;0;0
115;115;"0    Sep  6, 2018 08:38:20.507072000 -03
Name: time, dtype: object";75600;14;0;75562;90;60;4536756;24;37757;0;0;0;0
116;116;"0    Sep  6, 2018 08:39:20.180798000 -03
Name: time, dtype: object";76560;18;0;76530;110;60;4594384;27;38239;0;0;0;0
117;117;"0    Sep  6, 2018 08:40:20.193086000 -03
Name: time, dtype: object";75918;14;0;75880;90;60;4555940;24;37916;0;0;0;0
118;118;"0    Sep  6, 2018 08:41:20.544441000 -03
Name: time, dtype: object";75598;18;0;75562;90;60;4536792;27;37761;0;0;0;0
119;119;"0    Sep  6, 2018 08:42:20.219166000 -03
Name: time, dtype: object";76562;12;0;76530;90;60;4594384;24;38240;0;0;0;0
120;120;"0    Sep  6, 2018 08:43:20.212964000 -03
Name: time, dtype: object";75942;22;0;75898;90;60;4557508;31;37919;0;0;0;0
121;121;"0    Sep  6, 2018 08:44:20.598793000 -03
Name: time, dtype: object";75600;14;0;75566;90;60;4536780;25;37758;0;0;0;0
122;122;"0    Sep  6, 2018 08:45:20.264530000 -03
Name: time, dtype: object";76558;20;0;76508;90;60;4594528;24;38237;0;0;0;0
123;123;"0    Sep  6, 2018 08:46:20.265565000 -03
Name: time, dtype: object";75594;24;0;75548;110;60;4536756;25;37757;0;0;0;0
124;124;"0    Sep  6, 2018 08:47:20.196627000 -03
Name: time, dtype: object";75932;22;0;75890;90;60;4556764;30;37923;0;0;0;0
125;125;"0    Sep  6, 2018 08:48:20.067233000 -03
Name: time, dtype: object";75970;16;0;75930;90;60;4559084;29;37935;0;0;0;0
126;126;"0    Sep  6, 2018 08:49:20.000051000 -03
Name: time, dtype: object";75878;20;0;75828;110;60;4553688;23;37894;0;0;0;0
127;127;"0    Sep  6, 2018 08:50:20.256441000 -03
Name: time, dtype: object";75934;10;0;75900;90;60;4556946;28;37918;0;0;0;0
128;128;"0    Sep  6, 2018 08:51:20.025352000 -03
Name: time, dtype: object";75906;26;0;75856;90;60;4555152;25;37910;0;0;0;0
129;129;"0    Sep  6, 2018 08:52:20.038639000 -03
Name: time, dtype: object";76234;18;0;76188;110;60;4574948;23;38072;0;0;0;0
130;130;"0    Sep  6, 2018 08:53:20.336000000 -03
Name: time, dtype: object";75586;12;0;75554;90;60;4535924;22;37756;0;0;0;0
131;131;"0    Sep  6, 2018 08:54:20.017716000 -03
Name: time, dtype: object";76254;20;0;76210;110;60;4576132;32;38080;0;0;0;0
132;132;"0    Sep  6, 2018 08:55:20.092937000 -03
Name: time, dtype: object";75933;24;0;75889;90;60;4556948;26;37926;0;0;0;0
133;133;"0    Sep  6, 2018 08:56:20.000018000 -03
Name: time, dtype: object";75909;16;0;75877;90;60;4555436;28;37905;0;0;0;0
134;134;"0    Sep  6, 2018 08:57:20.226961000 -03
Name: time, dtype: object";76248;18;0;76214;110;60;4575968;30;38071;0;0;0;0
135;135;"0    Sep  6, 2018 08:58:20.147200000 -03
Name: time, dtype: object";75946;26;0;75894;110;60;4557940;33;37917;0;0;0;0
136;136;"0    Sep  6, 2018 08:59:20.175592000 -03
Name: time, dtype: object";75910;22;0;75872;90;60;4555404;28;37918;0;0;0;0
137;137;"0    Sep  6, 2018 09:00:20.266417000 -03
Name: time, dtype: object";75582;12;0;75548;90;60;4535820;17;37758;0;0;0;0
138;138;"0    Sep  6, 2018 09:01:20.017408000 -03
Name: time, dtype: object";76240;10;0;76210;90;60;4575168;25;38082;0;0;0;0
139;139;"0    Sep  6, 2018 09:02:20.055952000 -03
Name: time, dtype: object";76218;14;0;76192;110;60;4573740;24;38078;0;0;0;0
140;140;"0    Sep  6, 2018 09:03:20.576444000 -03
Name: time, dtype: object";75680;28;0;75628;110;60;4542618;34;37761;0;0;0;0
141;141;"0    Sep  6, 2018 09:04:20.261134000 -03
Name: time, dtype: object";75952;20;0;75910;110;60;4558432;31;37916;0;0;0;0
142;142;"0    Sep  6, 2018 09:05:20.065243000 -03
Name: time, dtype: object";21831;0;0;21823;90;60;1310092;8;10909;0;0;0;0
143;143;"0    Sep  6, 2018 09:06:20.017260000 -03
Name: time, dtype: object";75916;24;0;75872;110;60;4555844;28;37920;0;0;0;0
144;144;"0    Sep  6, 2018 09:07:20.287071000 -03
Name: time, dtype: object";75944;24;0;75894;90;60;4557828;31;37917;0;0;0;0
145;145;"0    Sep  6, 2018 09:08:20.191582000 -03
Name: time, dtype: object";76250;20;0;76202;90;60;4575860;27;38078;0;0;0;0
146;146;"0    Sep  6, 2018 09:09:20.418648000 -03
Name: time, dtype: object";75626;24;0;75582;90;60;4538708;31;37762;0;0;0;0
147;147;"0    Sep  6, 2018 09:10:20.087758000 -03
Name: time, dtype: object";76356;20;0;76315;267;60;4586010;30;38085;0;0;0;0
148;148;"0    Sep  6, 2018 09:11:20.293791000 -03
Name: time, dtype: object";75922;14;0;75887;267;60;4556514;29;37919;0;0;0;0
149;149;"0    Sep  6, 2018 09:12:20.238973000 -03
Name: time, dtype: object";75910;24;0;75866;110;60;4555520;26;37921;0;0;0;0
150;150;"0    Sep  6, 2018 09:13:20.110696000 -03
Name: time, dtype: object";76232;12;0;76204;90;60;4574712;23;38077;0;0;0;0
151;151;"0    Sep  6, 2018 09:14:20.353696000 -03
Name: time, dtype: object";75594;10;0;75564;110;60;4536212;21;37761;0;0;0;0
152;152;"0    Sep  6, 2018 09:15:20.045508000 -03
Name: time, dtype: object";76236;18;0;76202;90;60;4574968;28;38080;0;0;0;0
153;153;"0    Sep  6, 2018 09:16:20.126094000 -03
Name: time, dtype: object";76252;22;0;76202;90;60;4576172;27;38079;0;0;0;0
154;154;"0    Sep  6, 2018 09:17:20.433042000 -03
Name: time, dtype: object";75612;12;0;75580;110;60;4537700;22;37759;0;0;0;0
155;155;"0    Sep  6, 2018 09:18:20.121326000 -03
Name: time, dtype: object";75946;10;0;75918;90;60;4557560;29;37923;0;0;0;0
156;156;"0    Sep  6, 2018 09:19:20.128920000 -03
Name: time, dtype: object";76566;14;0;76528;90;60;4594820;23;38245;0;0;0;0
157;157;"0    Sep  6, 2018 09:20:20.699455000 -03
Name: time, dtype: object";75954;16;0;75920;405;60;4559428;26;37920;0;0;0;0
158;158;"0    Sep  6, 2018 09:21:20.369492000 -03
Name: time, dtype: object";75632;34;0;75572;110;60;4539240;38;37755;0;0;0;0
159;159;"0    Sep  6, 2018 09:22:20.119239000 -03
Name: time, dtype: object";76208;12;0;76174;110;60;4573296;19;38070;0;0;0;0
160;160;"0    Sep  6, 2018 09:23:20.355948000 -03
Name: time, dtype: object";75582;14;0;75548;110;60;4535748;24;37755;0;0;0;0
161;161;"0    Sep  6, 2018 09:24:20.029758000 -03
Name: time, dtype: object";75914;6;0;75888;90;60;4555620;20;37918;0;0;0;0
162;162;"0    Sep  6, 2018 09:25:20.284946000 -03
Name: time, dtype: object";75920;16;0;75878;90;60;4556092;23;37922;0;0;0;0
163;163;"0    Sep  6, 2018 09:26:20.369988000 -03
Name: time, dtype: object";75600;24;0;75558;110;60;4536944;26;37761;0;0;0;0
164;164;"0    Sep  6, 2018 09:27:20.042754000 -03
Name: time, dtype: object";76588;20;0;76544;90;60;4596504;29;38244;0;0;0;0
165;165;"0    Sep  6, 2018 09:28:20.400384000 -03
Name: time, dtype: object";75622;12;0;75594;90;60;4538388;23;37763;0;0;0;0
166;166;"0    Sep  6, 2018 09:29:20.080657000 -03
Name: time, dtype: object";75936;12;0;75900;110;60;4557244;27;37920;0;0;0;0
167;167;"0    Sep  6, 2018 09:30:20.047763000 -03
Name: time, dtype: object";76230;14;0;76194;110;60;4574464;24;38082;0;0;0;0
168;168;"0    Sep  6, 2018 09:31:20.257714000 -03
Name: time, dtype: object";75928;20;0;75880;90;60;4556808;26;37916;0;0;0;0
169;169;"0    Sep  6, 2018 09:32:20.132110000 -03
Name: time, dtype: object";75924;12;0;75888;90;60;4556296;29;37923;0;0;0;0
170;170;"0    Sep  6, 2018 09:33:20.067733000 -03
Name: time, dtype: object";75932;24;0;75882;90;60;4557052;29;37924;0;0;0;0
171;171;"0    Sep  6, 2018 09:34:20.053073000 -03
Name: time, dtype: object";75896;8;0;75862;90;60;4554476;15;37923;0;0;0;0
172;172;"0    Sep  6, 2018 09:35:20.011911000 -03
Name: time, dtype: object";76256;18;0;76206;90;60;4576408;23;38079;0;0;0;0
173;173;"0    Sep  6, 2018 09:36:20.126670000 -03
Name: time, dtype: object";75932;14;0;75886;110;60;4557168;23;37918;0;0;0;0
174;174;"0    Sep  6, 2018 09:37:20.294654000 -03
Name: time, dtype: object";75908;16;0;75856;90;60;4555760;22;37909;0;0;0;0
175;175;"0    Sep  6, 2018 09:38:20.138070000 -03
Name: time, dtype: object";76258;14;0;76204;182;60;4576960;23;38084;0;0;0;0
176;176;"0    Sep  6, 2018 09:39:20.188123000 -03
Name: time, dtype: object";75906;8;0;75874;90;60;4555064;18;37917;0;0;0;0
177;177;"0    Sep  6, 2018 09:40:20.316631000 -03
Name: time, dtype: object";75934;8;0;75888;90;60;4557140;24;37925;0;0;0;0
178;178;"0    Sep  6, 2018 09:41:20.158029000 -03
Name: time, dtype: object";76242;22;0;76200;110;60;4575732;23;38073;0;0;0;0
179;179;"0    Sep  6, 2018 09:42:20.190089000 -03
Name: time, dtype: object";75936;22;0;75888;90;60;4557356;34;37913;0;0;0;0
180;180;"0    Sep  6, 2018 09:43:20.356569000 -03
Name: time, dtype: object";75616;16;0;75578;110;60;4537952;28;37763;0;0;0;0
181;181;"0    Sep  6, 2018 09:44:20.038833000 -03
Name: time, dtype: object";76558;12;0;76516;90;60;4594646;20;38245;0;0;0;0
182;182;"0    Sep  6, 2018 09:45:20.190323000 -03
Name: time, dtype: object";75926;16;0;75886;110;60;4556632;28;37923;0;0;0;0
183;183;"0    Sep  6, 2018 09:46:20.376544000 -03
Name: time, dtype: object";75610;16;0;75566;90;60;4537596;28;37758;0;0;0;0
184;184;"0    Sep  6, 2018 09:47:20.044559000 -03
Name: time, dtype: object";76195;16;0;76159;110;60;4572844;22;38065;0;0;0;0
185;185;"0    Sep  6, 2018 09:48:20.211044000 -03
Name: time, dtype: object";75924;20;0;75880;110;60;4556384;28;37918;0;0;0;0
186;186;"0    Sep  6, 2018 09:49:20.167396000 -03
Name: time, dtype: object";75904;2;0;75870;90;60;4555044;15;37924;0;0;0;0
187;187;"0    Sep  6, 2018 09:50:20.061288000 -03
Name: time, dtype: object";76198;2;0;76182;90;60;4572272;11;38079;0;0;0;0
188;188;"0    Sep  6, 2018 09:51:20.297213000 -03
Name: time, dtype: object";75634;8;0;75594;90;60;4539120;16;37778;0;0;0;0
189;189;"0    Sep  6, 2018 09:52:20.000211000 -03
Name: time, dtype: object";75872;6;0;75844;90;60;4552924;16;37908;0;0;0;0
